"timestamp","title","price","market","surface","location","remote_support","lighting","advertiser_type","description","no_of_rooms","form_of_property","url","is_for_sale","posting_id"
"2024-01-17","REJTANA PARK : 2 Pokoje 41,37 m² + Balkon + Garaż","405426","market,primary","41.37","ul. Sebastiana Felsztyńskiego, Nowe Rokicie, Górna, Łódź, łódzkie","true","null","agency","Inwestycja ukończona - mieszkania gotowe do odbioru od zaraz!

Na sprzedaż dwupokojowe mieszkanie o powierzchni 41,37 m2 z możliwością zakupu miejsca postojowego w hali garażowej oraz komórki lokatorskiej. 

Mieszkanie mieści się na 1 piętrze w nowej inwestycji ""Rejtana Park"" przy ul. Felsztyńskiego 10 tuż przy parku Rejtana. Stan deweloperski.

""Rejtana Park"" to nowe osiedle w dzielnicy Łódź-Górna. To właśnie tutaj powstaje dynamiczne i szykowne miejsce do życia. Projekt składa się z budynku 4-piętrowego oraz dwóch budynków 8-piętrowych, graniczących bezpośrednio z jednym z najstarszych parków w Łodzi - Parkiem Rejtana.

Doskonała lokalizacja gwarantuje łatwą komunikację, liczne placówki handlowe, centrum sportowe, a także bliskie sąsiedztwo terenów zielonych i rekreacyjnych.

Dzięki dużym przeszkleniom oraz południowej wystawie z widokiem na Park Rejtana mieszkania będą doskonale nasłonecznione niezależnie od pory roku.

Każde mieszkanie zostało starannie przeanalizowane pod kątem funkcjonalnej aranżacji i wygody przebywania. Niemalże wszystkie mieszkania posiadają co najmniej jeden balkon.

Liczne udogodnienia obejmują między innymi: dwie hale garażowe na poziomie 0 oraz -1, ogólnie dostępną rowerownie/wózkownie czy komórki lokatorskie.

Pełna oferta na naszej stronie:
rejtanapark .pl","2","pełna własność","https://www.otodom.pl/pl/oferta/rejtana-park-2-pokoje-41-37-m-balkon-garaz-ID4ntr2","true","4ntr2"
"2024-01-17","Nadolice Wielkie*Bliźniak 139M*Działka 413,55M*","839000","market,primary","138.95","Magnoliowa, Dobrzykowice, Czernica, wrocławski, dolnośląskie","true","null","agency","NADOLICE WIELKIE * DOMY W ZABUDOWIE BLIŹNIACZEJ *UL. MAGNOLIOWABiuro sprzedaży Developera : 669 511 511 Zapraszam do zapoznania się z nasza ofertą sprzedaży domów  w zabudowie bliźniaczej  w Nadolicach Wielkich przy ul. Magnoliowej .Osiedle ma bezpośredni dostęp do asfaltowej i oświetlonej drogi gminnej.Inwestycja podzielona na IV Etapy . Dostępny lokal (2A, ) o powierzchni użytkowej 138,95m posadowiony na działce 413,57 m .Termin realizacji IV Q 2023 r / I Q 2024 . *Przepiękny duży salon, kuchnia z oknem , wiatrołap , garaż , kotłownia , 2 łazienki , 3 sypialnie, garderoba ,  wykończone poddasze ok.40m. Proponujemy dogodne warunki płatności !!! Atuty:   Przestrzeń / Jakość / KomfortSpecyfikacja pomieszczeń :PARTER :- przestronny salon 32,41m- kuchnia z oknem 11,48m- łazienka z kabiną prysznicową , wc, umywalka: 2,96m- wiatrołap z oknem 5,74 m- garaż 18,47m- kotłownia / pralnia 6,05m- ogród 236,23 mPIĘTRO:- sypialnia 12,48m - sypialnia 12,80m- sypialnia 12,09m -  garderoba 6,11m- łazienka z oknem 7,76mPODDASZE nieużytkowe :- rewelacyjna przestrzeń około 40 mDomy oddawane w stanie deweloperskim :* ogrzewanie podłogowe w całym budynku ( posadzki ANHYDRYTOWE CEMEX ).* sterowniki w każdym pomieszczeniu* schody z prefabrykatu* rolety elektryczna na parterze oraz na piętrze* drzwi przesuwne w salonie* wykończone poddasze ( ocieplenie, płyty GK ,OSB)* parapety wewnętrzne z konglomeratu* piec gazowy ISOTWIN, dwufunkcyjny z zasobnikiem 2x 21L.* panelowe ogrodzenie działkiCENA : 839 000 złOsiedle jest wyposażone w pełną infrastrukturę, tj. wodociąg, kanalizację sanitarną, prąd, gaz, kanalizację deszczową odprowadzającą wody opadowe poza teren osiedla, światłowód oraz wybrukowane, oświetlone wewnętrzne drogi jak i chodniki wraz z odwodnieniem.Nowoczesna i ponadczasowa forma, zapewnia funkcjonalność i dzięki połączeniu brył budynku poprzez garaż wewnętrzny daje pełną prywatność mieszkańcom.Lokalizacja :Nadolice Wielkie, ul. Magnoliowa /ul. Rzeczna , Osiedle - Spatium.Niecałe 5 kilometrów od granicy Wrocławia, 14 od Placu Grunwaldzkiego, bliskość Wschodniej Obwodnicy, odnowionej podwrocławskiej trasy kolejowej , jak również komunikacja miejska (linie autobusowe 845 oraz 865) umożliwiają komfortowy dojazd do miasta.W odległości 1km od osiedla przystanek kolejowy (park and ride) nowej szybkiej trasy do Wrocławia .W okolicy sklepy , restauracje , przedszkole .DO ZOBACZENIA NA INWESTYCJIPatrycja Batijewska tel.: 669 511 511*Oferujemy pełne wsparcie przy bezpiecznej finalizacji zakupu oraz zapewnimy pomoc w uzyskaniu najlepszej oferty kredytowej ! *Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 §1 Kodeksu Cywilnego oraz innych właściwych przepisów prawnych.Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()","4","null","https://www.otodom.pl/pl/oferta/nadolice-wielkieblizniak-139mdzialka-413-55m-ID4n82E","true","4n82E"
"2024-01-17","Kawalerka do remontu, 2 piętro Wyżyny","240000","market,secondary","26","ul. Łomżyńska, Wyżyny, Bydgoszcz, kujawsko-pomorskie","null","null","agency","NA SPRZEDAŻKawalerka na drugim piętrze bloku przy ul. Łomżyńskiej w Bydgoszczy. Do remontu.Powierzchnia 26m2Do mieszkania przynależy piwnica.Czynsz do wspólnoty 310złWięcej info:BARTOSZ ZAWISKI 797 606 479EXPANDER NIERUCHOMOŚCI*Chcesz sprawdzić swoją zdolność kredytową zanim zdecydujesz się na zakup nieruchomości?Skontaktuj się z ekspertem finansowym EXPANDERMAGDALENA ZAWISKAtel. 664 119 029Zainteresowany? Zadzwoń teraz i umów się na spotkanie online","1","pełna własność","https://www.otodom.pl/pl/oferta/kawalerka-do-remontu-2-pietro-wyzyny-ID4nQZK","true","4nQZK"
"2024-01-17","Parterowy dom z dużą działką","460000","market,secondary","127.18","Kołaków, Dąbrówka, wołomiński, mazowieckie","true","null","agency","Na sprzedaż parterowy dom wolnostojący o powierzchni całkowitej 127,18m2, położony na ogrodzonej, dużej działce 960m2.
Nieruchomość w stanie surowym otwartym. Aktualny etap budowy przedstawiony na zdjęciach.
Teren w pełni ogrodzony i zagospodarowany.
Nieruchomość wyróżnia się dużymi przeszkleniami a uroku dodaje jej przestronny taras z wyjściami z salonu i sypialni.
Miejsca parkingowe przewidziane przed budynkiem.
Rozkład pomieszczeń:1. Wiatrołap - 4,632. Hol - 7,983. Kotłownia - 2,444. Spiżarnia - 2,305. Kuchnia - 10,466. Salon - 24,867. Toaleta - 1,868. Pokój - 14,699. Pokój - 15,3910. Pokój - 10,0111. Łazienka - 6,26
Woda i prąd doprowadzone do działki.
Technologia budynku:ściany: bloczek z betonu komórkowego H+H 24 cm, styropian Termo Organika 20 cm, tynkstrop: płyta żelbetowadach: dwuspadowy, nachylenie 30 st. , więźba drewniana, blacha
LOKALIZACJADom usytuowany jest w miejscowości Kołaków, w gminie Dąbrówka, z dogodnym dojazdem do Warszawy dzięki trasie S8. Nieruchomość położona w spokojnej i cichej okolicy, w otoczeniu zieleni.
Zapraszam do kontaktu i obejrzenia nieruchomości","4","null","https://www.otodom.pl/pl/oferta/parterowy-dom-z-duza-dzialka-ID4na1B","true","4na1B"
"2024-01-17","Mieszkanie nad Motławą po remoncie w centrum","780000","market,secondary","39","ul. Kamienna Grobla, Śródmieście, Gdańsk, pomorskie","null","null","private","mieszkanie z widokiem na Motławę po kapitalnym remoncie w pełni umeblowane,nowe okna drzwi instalacja elektryczna i wodno-kanalizacyjna, nowe meble ze sprzętem AGD pod zabudowę oraz łazienka, mieszkanie ciepłe i nasłonecznione, dwie duże szafy pod zabudowę ,mieszkanie z piwnicą 15m2 i z balkonem,w bloku winda.blok po kapitalnym remoncie ocieplony oraz po remoncie klatki schodowej nowa glazura, w pobliskiej okolicy przedszkole szkoła plac zabaw dla dzieci komunikacja miejska a zarazem ciche spokojne miejsce z zielenią i przepięknym widokiem na Motławę i stare miasto
zaproponuj swoją cenę
POŚREDNIKOM DZIĘKUJĘ
miejsca parkingowe ogólnodostępne dla mieszkańców na terenie parkingu za blokiem oraz przed blokiem nr 9
Kuchnia w pełni wyposażona :piekarnik płyta indukcyjna zmywarka pod zabudowę m-ki Bosch ,pochłaniacz wbudowany, lodówka z zamrażarką","2","pełna własność","https://www.otodom.pl/pl/oferta/mieszkanie-nad-motlawa-po-remoncie-w-centrum-ID4om2A","true","4om2A"
"2024-01-17","2x OGRÓD_3km Starówka_17xTramwaj_RABAT >100tys zł","744570","market,primary","73.82","Rataje, Nowe Miasto, Poznań, wielkopolskie","true","null","agency","ZAOSZCZĘDŹ WYBIERAJĄC RYNEK PIERWOTNY – 0zł PCC + 0zł Prowizji
 
Specjalna oferta promocyjna na mieszkania oraz miejsca postojowe – zadzwoń i spytaj się o szczegóły ! Zabezpiecz się przed podwyżkami!
 
Możliwość kontaktu telefonicznego w godzinach 8:00 - 20:00 od poniedziałku do soboty oraz umówienia się na spotkanie w tygodniu 9:00 - 17:30 lub w sobotę 9:00 - 13:30
 

➤ Bardzo duża dostępność lokali w ustawnych układach jak i stronach świata
➤ Umowa rezerwacyjna tylko 1000zł
➤ Brak dodatkowych kosztów (*Akt notarialny w cenie – zapytaj o szczegóły) i GWARANCJA CENY
 
DOGODNA LOKALIZACJA:

Dojazd do malowniczego Starego Rynku zajmuje około 12minut;
Dla zwolenników komunikacji miejskiej jedynie 200 m od osiedla funkcjonują liczne przystanki tramwajowe (17 linii tramwajowych) oraz autobusowe (3 linie autobusowe);
Niedaleko działa również stacja kolejowa Poznań Starołęka, która pozwala dotrzeć m.in. na dworzec główny w zaledwie 7 min.

 
ROZBUDOWANA INFRASTRUKTURA HANDLOWO-USŁUGOWA + ŚWIETNE TERENY DO AKTYWNEGO WYPOCZYNKU NA ŚWIEŻYM POWIETRZU:
 

Najbliższy supermarket znajduje się w odległości 500m od osiedla (Biedronka); a od Pasażu Rondo dzieli nas 10-minutowy spacer (800m);
Od centrum medycznego dzieli nas 3minutowy spacer (400m);
Do najbliższej restauracji dotrzemy już w 2 minuty (350m);
Otoczenie terenów zielonych, m.in. park Osiedla Armii Krajowej z zagospodarowaniem dla osób lubiących aktywny wypoczynek (siłownia plenerowa, kort tenisowy, plac zabaw), bliskość rzeki i terenów nadwarciańskich; Las Dębiński; Verde8; Park Rataje ze skałką wspinaczkową, placami zabaw, fontanną, siłownią zewnętrzną;
Infrastruktura sportowo-rekreacyjna z kortami tenisowymi, street workout parkiem, boiskami, kręgielnią, skateparkiem i siłowniami plenerowymi w pobliżu mostu Przemysława I;
Najbliższa siłownia jest zlokalizowana 15 min pieszo od osiedla.

ATUTY OSIEDLA:
·        Stacja ładowania samochodów elektrycznych
·        Pakiet antysmogowy  
·        Siłownia dla mieszkańców osiedla
·        Przestronny balkon / taras z ogródkiem w każdym mieszkaniu
·        Miejsce postojowe naziemne / w hali garażowej podziemnej
·        Stojaki rowerowe
·        CO: miejskie
·        Plac zabaw dla najmłodszych","4","pełna własność","https://www.otodom.pl/pl/oferta/2x-ogrod-3km-starowka-17xtramwaj-rabat-100tys-zl-ID4oCD8","true","4oCD8"
"2024-01-17","Apartament 55m wykończony pod klucz w PięknymStylu","624900","market,secondary","54.95","ul. Fordońska, Stary Fordon, Bydgoszcz, kujawsko-pomorskie","null","null","agency","Szanowni Państwo,  Z przyjemnością prezentujemy Państwu ofertę sprzedaży nieruchomości w Bydgoszczy na osiedlu Fordon.To idealna okazja dla osób, które szukają wyjątkowego miejsca do życia lub świetnej opcji inwestycyjnej.Mieszkanie wykończone najwyższej klasy materiałami.  Opis mieszkania: Powierzchnia: 54,95 m2 Liczba pokoi: 3 + garderoba/gabinet (około 4m2) Kuchnia: salon z aneksem (AGD Whirpool) Łazienka: razem z wc Przedpokój: rozkładowyBalkon: TakKlimatyzacja: Takmiejsce w hali garażowej: możliwość dokupienia (38 000 zł)  Opis budynku: Rodzaj budynku: apartamentowiec  Liczba pięter: 5 Rok budowy: 2023 Stan budynku: Idealny Materiał budowlany: silikat i żelbet  Lokalizacja: Nieruchomość znajduje się w bydgoskim Fordonie na osiedlu ""Panorama Wiślana"". W pobliżu znajdują się sklepy, restauracje, przystanki komunikacji miejskiej oraz liczne miejsca rekreacyjne. Lokalizacja ta jest idealna dla rodzin z dziećmi oraz osób, które cenią sobie spokojny tryb życia.  Cena: Cena nieruchomości wynosi 624 900 zł. W cenę wliczone są niektóre meble i sprzęty AGD znajdujące się w mieszkaniu.  Jeśli jesteście Państwo zainteresowani tą ofertą, proszę o kontakt w celu umówienia się na obejrzenie nieruchomości oraz uzyskania dodatkowych informacji.  Z poważaniem, Jakub KaczmarekSimpleDomtel: 729 057 290email:    Zawarte powyżej informacje mają charakter wyłącznie informacyjny i nie stanowią oferty handlowej w rozumieniu obowiązujących przepisów prawa. W  Sp. z o.o. dbamy o to, aby treści prezentowane w naszych ofertach były aktualne i rzetelne. Informacje dotyczące ofert pochodzą z oświadczeń sprzedających, a my dokładamy wszelkich starań, aby były one jak najbardziej wiarygodne.

Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()
","3","pełna własność","https://www.otodom.pl/pl/oferta/apartament-55m-wykonczony-pod-klucz-w-pieknymstylu-ID4nMV0","true","4nMV0"
"2024-01-17","Apartament 54m2, 3 pok, Gwarancja najniższej ceny!","413959","market,primary","54.07","Sielec, Sosnowiec, śląskie","null","null","agency","U Nas kupujący nie płaci PCC i PROWIZJI 
W naszej ofercie znajdują się również inne mieszkania i apartamenty na tej jak i innych inwestycjach, dlatego zachęcamy do bezpośredniego kontaktu, gwarantując tym samym znalezienie dla Państwa idealnej nieruchomości w najniższej cenie.
BUDYNEK JUŻ GOTOWY
Wszystkie mieszkania na piętrach posiadać będą obszerne balkony, a zaprojektowane na parterze – tarasy wybrukowane kostką oraz zielone ogródki. Sprawną komunikację wewnątrz budynku zapewnią szybkie i ciche windy. Dla wygody zmotoryzowanych mieszkańców przewidziano optymalną liczbę miejsc postojowych na terenie osiedla i w podziemnej hali garażowej. Teren osiedla zagospodarowany będzie starannie wyselekcjonowaną roślinnością i elementami małej architektury. Budynek będzie podłączony do miejskiego węzła cieplnego.
Lokalizacja:
- Inwestycja jest realizowana w dzielnicy Sielec. Dojazd autem do centrum Sosnowca zajmuje tylko 5 minut.
- Inwestycja znajduje się w bezpośrednim sąsiedztwie rozległych terenów zielonych - tylko 1,5 km od Parku Sieleckiego, blisko Parku Środula z licznymi miejscami do wypoczynku na świeżym powietrzu. Taka lokalizacja sprzyja aktywności fizycznej i rodzinnym spacerom - z dala od zgiełku miasta.
- Codzienna wygoda dzięki bogatej infrastrukturze. W sąsiedztwie sklepy, m.in. Lidl, Biedronka, tylko 4 km od galerii handlowych Plejada i Sosnowiec Plaza.
- Rozwinięta komunikacja miejska: tuż przy osiedlu znajduje się przystanek autobusowy, dzięki czemu codzienne dojazdy do szkoły czy pracy nie wymagają korzystania z samochodu.
- Dogodna lokalizacja w rejonie ul. Klimontowskiej i dobre połączenie z trasami S1, DK94 oraz A4 umożliwiają szybki dojazd do sąsiednich miejscowości.
Co jeszcze zyskujesz?
- Pakiet antysmogowy – to codzienna ochrona przed zanieczyszczeniami, smogiem, pyłkami, kurzem, grzybami oraz innymi alergenami. System składa się z zaawansowanego technicznie układu filtrów, które powstrzymają nie tylko drobnoustroje, lecz również owady.
- Opcja Murapol Appartme - Twoje wymarzone mieszkanie może stać się jeszcze bardziej nowoczesne, oszczędne i bezpieczne, a Tobie będzie żyło się w nim komfortowo.  Nasz smart home wyróżnia:
- sterowanie manualne lub z aplikacją mobilną, czyli możliwość zarządzania mediami w mieszkaniu na dwa sposoby: za pomocą aplikacji mobilnej, lub manualnego przycisku - tzw. funkcji hotelowej.
- pełna kontrola nad dopływem wody - chroń swoje mieszkanie przed zalaniem dzięki systemowi sterowania głównymi zaworami wody. Możesz zamykać i otwierać jej dopływ nawet wtedy, gdy jesteś poza domem.
- niezawodność działania - zintegrowane systemy automatyki mieszkaniowej oznaczają, że nasz smart home działa równolegle w formie bezprzewodowej, jak i przewodowej.
Jesteśmy dla Państwa dostępni również w weekendy!   Do Państwa dyspozycji pozostają nasi profesjonalni doradcy finansowi, którzy ZA DARMO pomogą w dopasowaniu najlepszej oferty kredytu hipotecznego dopasowanego do Państwa potrzeb.   Dodatkowo oferujemy usługi naszej firmy wykończeniowej, która przygotuje dla Państwa mieszkanie pod klucz! Przy zakupie mieszkania DARMOWA konsultacja z architektem!   Więcej informacji pod numerem telefonu 882 059 982
Niniejsza oferta nie stanowi oferty w rozumieniu Kodeksu cywilnego.","3","pełna własność","https://www.otodom.pl/pl/oferta/apartament-54m2-3-pok-gwarancja-najnizszej-ceny-ID4os4L","true","4os4L"
"2024-01-17","Nowe 3 pokoje 70,76 m2! Doskonały układ! Balkon!","682000","market,primary","70.76","Starołęka Mała, Nowe Miasto, Poznań, wielkopolskie","null","null","agency","Komfortowe 3 pokoje 70,76 m2 z pralnią, doskonałym układem i balkonem 5,17 m2 !Kameralna inwestycja z nowoczesną architekturą położona w malowniczej lokalizacji przy terenach zielonych oraz niedaleko brzegu Warty.Każde mieszkanie posiada balkon lub taras.Mieszkania mają możliwość wydzielenia osobnej kuchni z oknem. Niewątpliwym atutem są niezwykle funkcjonalne układy mieszkań.Do dyspozycji mieszkańców w budynku znajduje się wózkarnia oraz rowerownia.Dostępne miejsca postojowe w hali garażowej oraz komórki lokatorskie.Układ mieszkania:- łazienka 1 - 4,5 m2- łazienka 2 - 2,72 m2- pokój dzienny z kuchnią - 29,94 m2- pokój - 9,22 m2- pralnia - 2,82 m2- przedpokój - 8,02 m2- sypialnia - 12,56 m2- ściany działowe - 0,98 m2Razem: 70,76 m2Powierzchnia dodatkowa:- balkon - 5,17 m2Lokalizacja:- 7,2 km do centrum- 330 m do przystanku komunikacji miejskiej- bliskość terenów zielonych- bliskość punktów handlowo- usługowychZakup bez podatku PCC i prowizji.Zapewniamy bezpłatną pomoc kredytową.Ostatnie mieszkania gotowe do odbioru !Zapraszam do kontaktu oraz na prezentację mieszkania w biurze sprzedaży.Bruno DragonEkspert ds. Nieruchomościtel. 506 068 393M.09Zainteresowany? Zadzwoń teraz i umów się na spotkanie online","3","pełna własność","https://www.otodom.pl/pl/oferta/nowe-3-pokoje-70-76-m2-doskonaly-uklad-balkon-ID4ocqO","true","4ocqO"
"2024-01-17","Przestronne 3 pokoje w Świdwinie!","349000","market,secondary","81","Świdwin, świdwiński, zachodniopomorskie","null","null","private","Polecam do sprzedaży przestronne, trzypokojowe, jasne mieszkanie usytuowane na ul. Gen. Bartoszcze 3, na osiedlu wojskowym.

Niski blok, zadbane otoczenie budynku, możliwość parkowania pod blokiem.

Lokal o powierzchni: 81m2 mieści się na parterze i składa się z :


salonu z aneksem kuchennym



przedpokoju



łazienki



sypialni



sypialni



piwnicy



Mieszkanie idealne dla rodziny.

Wolne od zaraz.

Zapraszam do kontaktu o każdej porze dnia pod nr tel : 500 109 176
","3","pełna własność","https://www.otodom.pl/pl/oferta/przestronne-3-pokoje-w-swidwinie-ID4orDF","true","4orDF"
